index,seconds_of_day,day_of_year,timestamp,weaDat.weaBus.HGloHor,weaBus.HDirNor,roomTempUpperSetpoint,weaBus.HDifHor,weaBus.TDryBul,thermalZone.TAir,totalHeatingPower.y,u
112,33600,1,33600,55.941110790649844,0.0,21.5,55.9459219858156,269.6781080440806,292.9691416182726,84.0634107792724,0.007691337788425177
113,33900,1,33900,55.22061202007556,0.0,21.5,55.22103280141844,269.81229334560146,292.89488769647005,88.19767688317104,0.008069600302610022
114,34200,1,34200,55.0,0.0,21.5,55.0,269.9486676185037,292.8397638882112,78.55105597407416,0.007186987769512047
115,34500,1,34500,55.17482204478511,0.0,21.5,55.176476256552576,270.08539369037794,292.79484856529643,82.68532207797278,0.00756525028369689
116,34800,1,34800,55.54228580884351,0.0,21.5,55.545020043169906,270.22063438881486,292.7604090090003,82.68532207797278,0.00756525028369689
117,35100,1,35100,56.05779030122313,0.0,21.5,56.0611123959297,270.35255254140486,292.7311030680164,78.55105597407416,0.007186987769512047
118,35400,1,35400,56.67673453097187,0.0,21.5,56.68023435090965,270.4793109757387,292.7054159442827,92.33194298706968,0.008447862816794867
119,35700,1,35700,57.35451750713765,0.0,21.5,57.35786694418748,270.5990725194069,292.68638359810603,81.30723337667318,0.007439162778968603
120,36000,1,36000,58.046538238768385,0.0,21.5,58.04949121184089,270.71,292.6645741598357,88.19767688317104,0.008069600302610022
121,36300,1,36300,58.70819573491198,0.0,21.5,58.71058818994758,270.81572058276805,292.6463456190721,81.30723337667318,0.007439162778968603
122,36600,1,36600,59.294889004616365,0.0,21.5,59.29663891458526,270.9209467695439,292.62653081484405,85.44149948057182,0.007817425293153447
123,36900,1,36900,59.76201705692945,0.0,21.5,59.763124421831634,271.0254693927925,292.60864335285856,95.08812038966872,0.008700037826251424
124,37200,1,37200,60.064978900899135,0.0,21.5,60.06552574776442,271.12907928497856,292.5932882330881,9726.550053772193,0.8899256083722102
125,37500,1,37500,60.15917354557335,0.0,21.5,60.159323928461305,271.231567278567,295.23251273931805,10568.562250266228,0.9669650737611913
126,37800,1,37800,60.0,0.0,21.5,60.0,271.3327242060227,296.89006839891346,10590.611669487009,0.9689824738368428
127,38100,1,38100,59.69245492581091,0.0,21.5,59.69245492581091,271.4323408998104,297.7935253660362,10615.4172661104,0.9712520489219518
128,38400,1,38400,59.3677104899931,0.0,21.5,59.3677104899931,271.5302081923951,298.29666617039817,1072.1530096110478,0.09809607867860307
129,38700,1,38700,59.02042895962733,0.0,21.5,59.02042895962733,271.62611691624153,295.9456750142311,89.57576558447046,0.008195687807338292
130,39000,1,39000,58.64527260179434,0.0,21.5,58.64527260179434,271.7198579038146,294.4133167640481,93.7100316883691,0.008573950321523137
131,39300,1,39300,58.23690368357488,0.0,21.5,58.23690368357488,271.81122198757913,293.5882696378897,85.44149948057182,0.007817425293153447
132,39600,1,39600,57.78998447204969,0.0,21.5,57.78998447204969,271.9,293.1348429680956,93.7100316883691,0.008573950321523137
133,39900,1,39900,57.29917723429952,0.0,21.5,57.29917723429952,271.9862305633323,292.884805268345,88.19767688317104,0.008069600302610022
134,40200,1,40200,56.75914423740511,0.0,21.5,56.75914423740511,272.0702220792978,292.73895080657473,84.0634107792724,0.007691337788425177
135,40500,1,40500,56.164547748447205,0.0,21.5,56.164547748447205,272.1521700495611,292.6520737221412,82.68532207797278,0.00756525028369689
136,40800,1,40800,55.510050034506556,0.0,21.5,55.510050034506556,272.2322699757869,292.5951361259775,84.0634107792724,0.007691337788425177
137,41100,1,41100,54.79031336266391,0.0,21.5,54.79031336266391,272.3107173596398,292.5555324028477,89.57576558447046,0.008195687807338292
138,41400,1,41400,54.0,0.0,21.5,54.0,272.3877077027845,292.5260070582583,90.95385428577008,0.00832177531206658
139,41700,1,41700,53.155175264550266,0.0,21.5,53.155175264550266,272.46343650688556,292.5006554122343,92.33194298706968,0.008447862816794867
140,42000,1,42000,52.27910052910053,0.0,21.5,52.27910052910053,272.5380992736077,292.47766235689335,86.81958818187142,0.007943512797881734
