index,seconds_of_day,day_of_year,timestamp,weaBus.HDirNor,totalHeatingPower.y,thermalZone.TAir,weaBus.TDryBul,weaDat.weaBus.HGloHor,weaBus.HDifHor,roomTempUpperSetpoint,u
3912,50400,14,1173600,0.3281250000000001,13392.856965144721,301.2895351630636,284.65999999999997,14.533037247509487,14.528669724770644,22.0,0.9720085739503215
3913,50700,14,1173900,0.23690682870370372,13403.28077391251,301.29077938889543,284.6104552999084,10.583821999319582,10.584570378865106,22.0,0.9727650989786912
3914,51000,14,1174200,0.15740740740740744,13444.976008983656,301.29555547619117,284.55935793373294,7.088164493569295,7.091063540604829,22.0,0.9757911990921699
3915,51300,14,1174500,0.09179687500000011,13446.713310444962,301.31067086197083,284.50669432130366,4.164009135510405,4.167001146788998,22.0,0.9759172865968988
3916,51600,14,1174800,0.04224537037037057,13469.298229441842,301.3224923664896,284.4524508824509,1.9293003303947032,1.9312351342167915,22.0,0.9775564241583671
3917,51900,14,1175100,0.010923032407407662,13443.238707522374,301.3388888221285,284.3966140370046,0.5019824834739737,0.5026174396873984,22.0,0.9756651115874428
3918,52200,14,1175400,0.0,13474.510133825735,301.34730547966757,284.3391702047952,0.0,0.0,22.0,0.9779346866725519
3919,52500,14,1175700,0.0,13457.137119212748,301.3663802122958,284.2801058056527,0.0,0.0,22.0,0.9766738116252685
3920,52800,14,1176000,0.0,13490.145846977415,301.37963446541556,284.21940725940726,0.0,0.0,22.0,0.9790694742151065
3921,53100,14,1176300,0.0,13451.925214828856,301.40195466791454,284.1570609858891,0.0,0.0,22.0,0.9762955491110837
3922,53400,14,1176600,0.0,13488.40854551611,301.4109234995473,284.09305340492836,0.0,0.0,22.0,0.9789433867103776
3923,53700,14,1176900,0.0,13493.620449900003,301.43152231908783,284.0273709363553,0.0,0.0,22.0,0.9793216492245624
3924,54000,14,1177200,0.0,13493.620449900003,301.45031670401823,283.96,0.0,0.0,22.0,0.9793216492245624
3925,54300,14,1177500,0.0,13495.357751361309,301.4670290145079,283.88932663690474,0.0,0.0,22.0,0.9794477367292913
3926,54600,14,1177800,0.0,13514.468067435575,301.4822142365561,283.8144832251082,0.0,0.0,22.0,0.9808346992813017
3927,54900,14,1178100,0.0,13549.214096661524,301.5008870873099,283.736575689935,0.0,0.0,22.0,0.9833564493758669
3928,55200,14,1178400,0.0,13540.527589355042,301.5249314418478,283.65670995670996,0.0,0.0,22.0,0.982726011852226
3929,55500,14,1178700,0.0,13549.214096661524,301.54110884952536,283.57599195075755,0.0,0.0,22.0,0.9833564493758669
3930,55800,14,1179000,0.0,13537.052986432456,301.557370393046,283.4955275974026,0.0,0.0,22.0,0.9824738368427701
3931,56100,14,1179300,0.0,13509.256163051683,301.56865284648853,283.41642282196966,0.0,0.0,22.0,0.9804564367671169
3932,56400,14,1179600,0.0,13495.357751361309,301.57326129342624,283.33978354978353,0.0,0.0,22.0,0.9794477367292913
3933,56700,14,1179900,0.0,13526.629177664669,301.5781258652487,283.2667157061688,0.0,0.0,22.0,0.9817173118144004
3934,57000,14,1180200,0.0,13531.841082048562,301.593888556996,283.1983252164502,0.0,0.0,22.0,0.9820955743285852
3935,57300,14,1180500,0.0,13538.790287893737,301.6089912682328,283.13571800595236,0.0,0.0,22.0,0.9825999243474971
3936,57600,14,1180800,0.0,13544.002192277632,301.62426870266415,283.08,0.0,0.0,22.0,0.9829781868616821
3937,57900,14,1181100,0.0,13502.306957206483,301.6394661170582,283.028713023088,0.0,0.0,22.0,0.9799520867482032
3938,58200,14,1181400,0.0,13471.035530903124,301.64297804764635,282.9785451921815,0.0,0.0,22.0,0.9776825116630942
3939,58500,14,1181700,0.0,13471.035530903124,301.64294097339837,282.9293218713105,0.0,0.0,22.0,0.9776825116630942
3940,58800,14,1182000,0.0,13500.569655745203,301.6480672778581,282.88086842450474,0.0,0.0,22.0,0.9798259992434761
3941,59100,14,1182300,0.0,13512.730765974271,301.6639236708817,282.8330102157943,0.0,0.0,22.0,0.980708611776573
3942,59400,14,1182600,0.0,13505.781560129095,301.68050627083244,282.78557260920894,0.0,0.0,22.0,0.980204261757661
3943,59700,14,1182900,0.0,13538.790287893737,301.6928350504888,282.7383809687787,0.0,0.0,22.0,0.9825999243474971
3944,60000,14,1183200,0.0,13550.95139812283,301.7126433338017,282.69126065853334,0.0,0.0,22.0,0.9834825368805957
3945,60300,14,1183500,0.0,13554.426001045418,301.7311268244232,282.64403704250293,0.0,0.0,22.0,0.9837347118900517
3946,60600,14,1183800,0.0,13587.434728810083,301.7467519956043,282.59653548471726,0.0,0.0,22.0,0.9861303744798896
3947,60900,14,1184100,0.0,13566.58711127451,301.76816690823034,282.5485813492063,0.0,0.0,22.0,0.9846173244231502
3948,61200,14,1184400,0.0,13590.909331732671,301.7792621663243,282.5,0.0,0.0,22.0,0.9863825494893456
3949,61500,14,1184700,0.0,13549.214096661524,301.7961066537593,282.4504519774011,0.0,0.0,22.0,0.9833564493758669
3950,61800,14,1185000,0.0,13552.688699584136,301.79973606616943,282.39987358173414,0.0,0.0,22.0,0.9836086243853246
3951,62100,14,1185300,0.0,13587.434728810083,301.80737100212656,282.3485038170612,0.0,0.0,22.0,0.9861303744798896
3952,62400,14,1185600,0.0,13571.799015658404,301.8244607488073,282.29658168744453,0.0,0.0,22.0,0.9849955869373351
3953,62700,14,1185900,0.0,13533.578383509845,301.83406359636353,282.2443461969463,0.0,0.0,22.0,0.9822216618333124
3954,63000,14,1186200,0.0,13528.36647912595,301.83419159339405,282.1920363496288,0.0,0.0,22.0,0.9818433993191275
3955,63300,14,1186500,0.0,13524.891876203363,301.83798039439245,282.13989114955405,0.0,0.0,22.0,0.9815912243096715
3956,63600,14,1186800,0.0,13537.052986432456,301.8433811279702,282.0881496007844,0.0,0.0,22.0,0.9824738368427701
3957,63900,14,1187100,0.0,13479.722038209627,301.85364015515927,282.037050707382,0.0,0.0,22.0,0.9783129491867367
3958,64200,14,1187400,0.0,13469.298229441842,301.8492928603236,281.986833473409,0.0,0.0,22.0,0.9775564241583671
3959,64500,14,1187700,0.0,13457.137119212748,301.84909697976053,281.93773690292755,0.0,0.0,22.0,0.9766738116252685
3960,64800,14,1188000,0.0,13438.026803138482,301.85035437565415,281.89,0.0,0.0,22.0,0.975286849073258
3961,65100,14,1188300,0.0,13469.298229441842,301.8507846075477,281.85746806340234,0.0,0.0,22.0,0.9775564241583671
3962,65400,14,1188600,0.0,13443.238707522374,301.8635527090727,281.8507552930434,0.0,0.0,22.0,0.9756651115874428
3963,65700,14,1188900,0.0,13427.602994370694,301.86924050257056,281.8652540446841,0.0,0.0,22.0,0.9745303240448883
3964,66000,14,1189200,0.0,13420.653788525495,301.874396274149,281.89635667408544,0.0,0.0,22.0,0.9740259740259746
3965,66300,14,1189500,0.0,13444.976008983656,301.88187069307753,281.9394555370085,0.0,0.0,22.0,0.9757911990921699
3966,66600,14,1189800,0.0,1367.2562500413683,301.8986437048739,281.98994298921417,0.0,0.0,22.0,0.0992308662211576
3967,66900,14,1190100,0.0,114.66189644565472,298.9095699053916,282.0432113864635,0.0,0.0,22.0,0.00832177531206658
3968,67200,14,1190400,0.0,107.71269060046345,297.09038352490677,282.09465308451746,0.0,0.0,22.0,0.007817425293153447
3969,67500,14,1190700,0.0,114.66189644565472,296.1635257112227,282.1396604391371,0.0,0.0,22.0,0.00832177531206658
3970,67800,14,1191000,0.0,107.71269060046345,295.68221379888786,282.1736258060834,0.0,0.0,22.0,0.007817425293153447
3971,68100,14,1191300,0.0,99.02618329397453,295.42010554568265,282.1919415411174,0.0,0.0,22.0,0.007186987769512046
3972,68400,14,1191600,0.0,107.71269060046345,295.26765722069376,282.19,0.0,0.0,22.0,0.007817425293153447
3973,68700,14,1191900,0.0,100.76348475527242,295.1719905676538,282.1761025326797,0.0,0.0,22.0,0.007313075274240333
3974,69000,14,1192200,0.0,109.44999206176132,295.10241901717393,282.1614839572192,0.0,0.0,22.0,0.007943512797881734
3975,69300,14,1192500,0.0,105.97538913916581,295.0492337562201,282.1459368315508,0.0,0.0,22.0,0.007691337788425178
3976,69600,14,1192800,0.0,97.28888183267664,295.0019919829171,282.12925371360666,0.0,0.0,22.0,0.007060900264783758
3977,69900,14,1193100,0.0,104.23808767786792,294.956677098234,282.11122716131905,0.0,0.0,22.0,0.00756525028369689
3978,70200,14,1193400,0.0,97.28888183267664,294.91631660770565,282.0916497326203,0.0,0.0,22.0,0.007060900264783758
