,alpha
362,1.1705870497136295
363,1.1705870497136295
364,1.172963732633483
365,1.1624333581099286
366,1.1624333581099286
367,1.1624333581099286
368,1.1624333581099286
369,1.1670494309497774
370,1.1670494309497774
371,1.1670494309497774
372,1.163380379171345
373,1.1689287366112877
374,1.1689287366112877
375,1.1645161431735365
376,1.1645161431735365
377,1.1645161431735365
378,1.1689100071195824
379,1.1689100071195824
380,1.1689100071195824
381,1.1790608155480544
382,1.1790608155480544
383,1.1812939265803966
384,1.1812939265803966
385,1.1749587460989348
386,1.1749587460989348
387,1.1749587460989348
388,1.1749587460989348
389,1.1749587460989348
390,1.1787220733657184
391,1.1787220733657184
392,1.1704793348415516
393,1.1631698368988714
394,1.16811395172584
395,1.16811395172584
396,1.16811395172584
397,1.16811395172584
398,1.16811395172584
399,1.1662415454041053
400,1.1667142747014236
401,1.1667142747014236
402,1.170971318611003
403,1.170971318611003
404,1.1773643148625446
405,1.1720356735042141
406,1.1681324748591848
407,1.1734486126676678
408,1.1671695201774086
409,1.1671695201774086
410,1.164333957339404
411,1.164333957339404
412,1.166884855899766
413,1.1725874296000545
414,1.1837115762095989
415,1.1837115762095989
416,1.1853737042160617
417,1.1853737042160617
418,1.1853737042160617
419,1.1853737042160617
420,1.1809970844133733
421,1.1809970844133733
422,1.168532294639868
423,1.1844953670066198
424,1.1844953670066198
425,1.1844953670066198
426,1.177840636841537
427,1.177840636841537
428,1.177840636841537
429,1.1813330294773727
430,1.1813330294773727
431,1.173539935853849
432,1.1866879420445036
433,1.1832176506029195
434,1.1832176506029195
435,1.185284273730817
436,1.1855946232885217
437,1.1855946232885217
438,1.1828836278745276
439,1.1727907675745979
440,1.1767977908094143
441,1.1767977908094143
442,1.180593641559514
443,1.1755024889927557
444,1.1755024889927557
445,1.1710380465213766
446,1.1710380465213766
447,1.1710380465213766
448,1.1847960376228721
449,1.1756800105637228
450,1.1690111566700736
451,1.1690111566700736
452,1.1680330857561878
453,1.1680330857561878
454,1.1680330857561878
455,1.1639945808107124
456,1.1685809684366524
457,1.1690849520341717
458,1.1690849520341717
459,1.1690849520341717
460,1.1690849520341717
461,1.1690849520341717
462,1.156913488632737
463,1.1657037546863955
464,1.1581725083358978
465,1.1581725083358978
466,1.1715991986618082
467,1.1715991986618082
468,1.1715991986618082
469,1.163114147157959
470,1.1597308069747991
471,1.1597308069747991
472,1.153331407123645
473,1.153331407123645
474,1.153331407123645
475,1.1545888362267684
476,1.1545888362267684
477,1.1545888362267684
478,1.152776466315987
479,1.152192621397073
480,1.152192621397073
481,1.152192621397073
482,1.1595383751666009
483,1.1595383751666009
484,1.1595383751666009
485,1.1561168874433014
486,1.1561168874433014
487,1.1561168874433014
488,1.1618317740411932
489,1.1618317740411932
490,1.1619518009524163
491,1.1695380687991692
492,1.1723310037812547
493,1.1723310037812547
494,1.1687959940601274
495,1.174762251291434
496,1.1774128187992592
497,1.1774128187992592
498,1.1774128187992592
499,1.1774128187992592
500,1.1774128187992592
501,1.1774128187992592
502,1.1747191355955204
503,1.1747191355955204
504,1.1747191355955204
505,1.1746271560302661
506,1.1707713896861678
507,1.1707713896861678
508,1.1707713896861678
509,1.1840556849545751
510,1.18366217387284
511,1.1812934046918184
512,1.191713032853898
513,1.191713032853898
514,1.191713032853898
515,1.1878099354121854
516,1.1878099354121854
517,1.1860045612824603
518,1.1860045612824603
519,1.1860045612824603
520,1.1860045612824603
521,1.1860045612824603
522,1.1859104865410128
523,1.1918621558664835
524,1.1918621558664835
525,1.1918621558664835
526,1.1918621558664835
527,1.1918621558664835
528,1.1894764456495854
529,1.1894764456495854
530,1.1891640403066521
531,1.1895672802100095
532,1.1895672802100095
533,1.1819206176438037
534,1.1819206176438037
535,1.178488569948236
536,1.178488569948236
537,1.1772600181995065
538,1.1835996972431397
539,1.1835996972431397
540,1.1801678013739716
541,1.1801678013739716
542,1.1801678013739716
543,1.2012326392624577
544,1.2012326392624577
545,1.20301116968899
546,1.2028193642052427
547,1.2028193642052427
548,1.183102530399369
549,1.1774925642626786
550,1.180317670667968
551,1.180317670667968
552,1.180317670667968
553,1.180317670667968
554,1.1800135434540564
555,1.1800135434540564
556,1.1790978386619348
557,1.1790978386619348
558,1.1790978386619348
559,1.1790978386619348
560,1.184446102778984
561,1.174273300203012
562,1.174273300203012
563,1.1771255384152806
564,1.1771255384152806
565,1.1697698367067155
566,1.1756735652131711
567,1.1756735652131711
568,1.1756735652131711
569,1.1844351582962003
570,1.1844351582962003
571,1.1844351582962003
572,1.1844351582962003
573,1.1844351582962003
574,1.1844351582962003
575,1.1856689910021547
576,1.1674859748798245
577,1.1640240815838363
578,1.1603955287245553
579,1.1573121494697212
580,1.161139969530092
581,1.1575768806449536
582,1.160231452514774
583,1.160231452514774
584,1.160231452514774
585,1.1605560675324729
586,1.159185662649677
587,1.159185662649677
588,1.159185662649677
589,1.1636976951416365
590,1.1636976951416365
591,1.1636976951416365
592,1.168890517326911
593,1.1710973316631794
594,1.1710973316631794
595,1.1710973316631794
596,1.1710973316631794
597,1.1710973316631794
598,1.1710973316631794
599,1.1696771552144745
600,1.1634793001019528
601,1.1634793001019528
602,1.1634793001019528
603,1.1653444502152543
604,1.1653444502152543
605,1.1653444502152543
606,1.1674577407648314
607,1.1674577407648314
608,1.1674577407648314
609,1.169751752593026
610,1.169751752593026
611,1.1658548817640395
