,alpha
611,0.7252383544497302
612,0.6981806737232001
613,0.6981806737232001
614,0.7668470330351955
615,1.0618487190281178
616,1.0618487190281178
617,0.9089974549395933
618,0.43067951108194824
619,0.6389400350723745
620,0.6389400350723745
621,0.6389400350723745
622,0.6389400350723745
623,0.6389400350723745
624,0.6389400350723745
625,0.38664827988383943
626,0.4247443262577449
627,0.4247443262577449
628,0.4198897071674286
629,0.4198897071674286
630,0.3697416646231463
631,0.5119937841113992
632,0.4750369195440115
633,0.4750369195440115
634,0.4750369195440115
635,0.20868613017741305
636,0.11106162712049421
637,0.041211444284275964
638,0.05463049075288057
639,0.4111454138054353
640,0.36795541223766376
641,0.7206368794750071
642,0.7318974987677933
643,0.9902794691509567
644,1.2139826581840027
645,1.2139826581840027
646,1.0644528151865666
647,1.0644528151865666
648,1.0644528151865666
649,1.0644528151865666
650,1.6575189843884335
651,1.5243335442888075
652,1.1839187846032415
653,1.2796908865675456
654,1.2796908865675456
655,1.1933861301499655
656,1.295952004709911
657,1.573994356356184
658,1.573994356356184
659,1.2947207925108617
660,0.9395789534773741
661,1.1869800227236125
662,0.7195061646819001
663,0.32653187400776856
664,0.15517407790517002
665,0.18425698550649566
666,0.18425698550649566
667,0.18425698550649566
668,0.2877672775027548
669,0.5975174711257998
670,0.20154596189106205
671,0.025129149707455334
672,0.025129149707455334
673,0.025129149707455334
674,0.025129149707455334
675,0.3582014935172328
676,0.14048982955913464
677,0.018643988011342733
678,0.22059988438776112
679,0.22059988438776112
680,0.41811009021192014
681,0.5379396520554449
682,0.04891709473340766
683,0.10465269000629901
684,0.10465269000629901
685,0.10465269000629901
686,0.10465269000629901
687,0.306655819871819
688,0.2992923861253643
689,0.2992923861253643
690,0.12577774181280899
691,0.12577774181280899
692,0.12577774181280899
693,0.2664189405345223
694,0.3174626238434757
695,0.18728696050279747
696,0.18728696050279747
697,0.18728696050279747
698,0.18728696050279747
699,0.18728696050279747
700,0.3830797759060721
701,0.3830797759060721
702,0.3830797759060721
703,0.10902255874708966
704,0.23129728541674294
705,0.01468942745752147
706,0.01468942745752147
707,0.13708914413229437
708,0.10100110661480213
709,0.02452085282582124
710,0.02452085282582124
711,0.19455167820884578
712,0.19455167820884578
713,0.04340314798243758
714,0.23298743189001295
715,0.06330668212270898
716,0.06330668212270898
717,0.06330668212270898
718,0.04415565679576866
719,0.04415565679576866
720,0.04415565679576866
721,0.10509215733033281
722,0.10509215733033281
723,0.10509215733033281
724,0.2961480146098052
725,0.36764960103747363
726,0.41545735807457396
727,0.41545735807457396
728,0.45203713315599847
729,0.45203713315599847
730,0.27069681563053694
731,0.11432330985792374
732,0.11016933738913433
733,0.11016933738913433
734,0.3802751366259383
735,0.2468810131090245
736,0.2468810131090245
737,0.2468810131090245
738,0.2468810131090245
739,0.2468810131090245
740,0.2468810131090245
741,0.2468810131090245
742,0.5995035971431726
743,0.23525973424934415
744,0.24470964249462251
745,0.24470964249462251
746,0.3167792130078574
747,0.07628128735506834
748,0.06198341104714669
749,0.004989946957848532
750,0.16884779671127848
751,0.1229834381736094
752,0.12845146992572787
753,0.4191538901197551
754,0.4191538901197551
755,0.15741896521379206
756,0.10050890135188134
757,0.2741942550134896
758,0.5185629831802777
759,0.5185629831802777
760,0.5185629831802777
761,0.33603798606244134
762,0.13110485595466537
763,0.13110485595466537
764,0.13110485595466537
765,0.12320525194003418
766,0.12320525194003418
767,0.21865197628254532
768,0.3210946943479694
769,0.3210946943479694
770,0.3210946943479694
771,0.3609192787799555
772,0.3660044443890773
773,0.24847016434384156
774,0.20173247688634113
775,0.09069698211003223
776,0.09069698211003223
777,0.09069698211003223
778,0.13207504107874962
779,0.1533868663252157
780,0.13914308865254338
781,0.13914308865254338
782,0.2632126581474607
783,0.5331414471191835
784,0.33951945861776506
785,0.644692902732956
786,0.644692902732956
787,0.803805664009416
788,0.803805664009416
789,0.633210259619381
790,0.1751449021484378
791,0.29907427284601074
792,0.4340483425880203
793,0.5736513190521139
794,0.667861089682208
795,0.2616872949124865
796,0.23549092833345386
797,0.5523732160983431
798,0.8063442374737189
799,0.8063442374737189
800,1.2123337326519172
801,1.5660887062582827
802,1.5660887062582827
803,1.5660887062582827
804,1.3997867894592417
805,1.627414776453732
806,1.5283564429891443
807,0.8546124888041392
808,0.39567264506977523
809,0.3766000611598459
810,0.304580891542197
811,0.304580891542197
812,0.3576429747100402
813,0.3576429747100402
814,0.3576429747100402
815,0.2429583717542807
816,0.09439159129066343
817,0.5744298549659024
818,0.35491015318034846
819,0.34012962784594286
820,0.0545188239420199
821,0.0545188239420199
822,0.35286515659202555
823,0.6029994306293198
824,0.6775154296935146
825,0.5999142400501685
826,0.5999142400501685
827,0.3887503238856188
828,0.0693673106801625
829,0.0693673106801625
830,0.22423329969195027
831,0.06812393077052611
832,0.18764165974127775
833,0.18764165974127775
834,0.1887211686663614
835,0.13180834318446016
836,0.13180834318446016
837,0.13180834318446016
838,0.15771523047094577
839,0.7183261846713771
840,0.7183261846713771
841,0.9360682667456577
842,0.8767776966651453
843,0.16949838753304014
844,0.5272525995897552
845,0.39838998496548994
846,0.43169794203513856
847,0.43169794203513856
848,0.401363775298304
849,0.4342995083850277
850,0.5674824035410921
851,0.5375755981921477
852,0.5375755981921477
853,0.5375755981921477
854,0.24583140869978876
855,0.3380428428903257
856,0.29119503105797373
857,0.29119503105797373
858,0.29119503105797373
859,0.3734406690191074
860,0.4760352509336572
861,0.4165009633794087
862,0.5771987537762447
863,0.5771987537762447
864,0.7338371476195994
865,0.7338371476195994
866,0.7338371476195994
867,0.5685196825692831
868,0.6347450950811655
869,0.8901700902095764
870,0.8901700902095764
871,1.206765040943341
872,0.8562537400346717
873,0.24468758069798902
874,0.1258239337156262
875,0.07392426460203043
876,0.07080202388530955
877,0.20472597142286347
878,0.20472597142286347
879,0.20472597142286347
880,0.4684957997207232
881,0.8557508668301428
882,1.0277471788485602
883,1.0277471788485602
884,0.9106365102464171
885,0.9106365102464171
886,0.9106365102464171
887,0.7374927275514431
