index,seconds_of_day,day_of_year,timestamp,T_out,weaBus.HDirNor,T_in,HGloHor,heatPower,roomTempUpperSetpoint,weaBus.HDifHor,u
3887,42900,14,1166100,280.8299117476852,0.0,295.18129468103086,95.58942751408367,8987.865892859742,22.5,94.86574074074075,0.46870531896911416
3888,43200,14,1166400,280.84999999999997,0.0,295.1823403015091,96.58656957928802,8967.815135480043,22.5,96.02,0.46765969849087696
3889,43500,14,1166700,280.87160493827156,0.0,295.1833715816406,97.52334666786528,8948.039367754283,22.5,97.14537037037037,0.46662841835939156
3890,43800,14,1167000,280.8945987654321,0.0,295.1844681849278,98.44827999520557,8927.01096699912,22.5,98.26074074074074,0.46553181507215413
3891,44100,14,1167300,280.91875,0.0,295.18557280338223,99.40989077669903,8905.82886786525,22.5,99.385,0.4644271966177485
3892,44400,14,1167600,280.9438271604938,0.0,295.18668543700375,100.45670022773584,8884.493070353761,22.5,100.53703703703704,0.46331456299623136
3893,44700,14,1167900,280.96959876543207,0.0,295.18794268299973,101.6372295637061,8860.384194373606,22.5,101.73574074074074,0.46205731700024444
3894,45000,14,1168200,280.99583333333334,0.0,295.1894619800474,103.0,8831.250242692122,22.5,103.0,0.4605380199525939
3895,45300,14,1168500,281.022299382716,0.9247685185185184,295.19112524559466,104.91564622875302,8799.35555944842,22.5,104.45993827160494,0.4588747544053149
3896,45600,14,1168800,281.0487654320987,3.4814814814814814,295.1929324796415,107.59668649231756,8764.700144643592,22.5,106.1820987654321,0.45706752035846415
3897,45900,14,1169100,281.075,7.343750000000001,295.1955590687336,110.85446733140908,8714.332825221802,22.5,108.09,0.4544409312663902
3898,46200,14,1169400,281.10077160493825,12.185185185185185,295.1990518922012,114.50033528674305,8647.354645875308,22.5,110.10716049382717,0.4509481077987516
3899,46500,14,1169700,281.12584876543207,17.67939814814815,295.20314447418207,118.34563689903496,8568.875532217613,22.5,112.1570987654321,0.4468555258179095
3900,46800,14,1170000,281.15,23.5,295.20783681467617,122.20171870900026,8478.895484247623,22.5,114.16333333333333,0.4421631853238068
3901,47100,14,1170300,281.1756847993827,29.32060185185185,295.2122642758418,125.87992725735444,8393.994746850505,22.5,116.04938271604938,0.4377357241581877
3902,47400,14,1170600,281.20455246913576,34.81481481481482,295.2164451693615,129.19160908481297,8313.822176267528,22.5,117.73876543209876,0.4335548306384567
3903,47700,14,1170900,281.23515625,39.65624999999999,295.21990124092093,131.94811073209132,8247.548749372252,22.5,119.155,0.43009875907904416
3904,48000,14,1171200,281.266049382716,43.51851851851851,295.22280365384427,133.96077873990495,8191.892248229914,22.5,120.22160493827161,0.42719634615571067
3905,48300,14,1171500,281.2957851080247,46.07523148148148,295.22515623098917,135.04095964896936,8146.779365944912,22.5,120.8620987654321,0.4248437690108062
3906,48600,14,1171800,281.32291666666663,47.0,295.226845980848,135.0,8114.37682108578,22.5,121.0,0.4231540191519798
3907,48900,14,1172100,281.3459972993827,46.07523148148148,295.22755810662676,133.5879285879286,8100.721138636015,22.5,120.30180776014109,0.42244189337321814
3908,49200,14,1172400,281.36358024691356,43.51851851851852,295.2273230288537,130.83366333366334,8105.228976318586,22.5,118.58906525573192,0.4226769711463021
3909,49500,14,1172700,281.37421874999995,39.65625,295.22602299591017,126.96688446688447,8130.158332311851,22.5,116.01785714285714,0.42397700408980654
3910,49800,14,1173000,281.3764660493827,34.81481481481482,295.2238913120957,122.21727221727221,8171.035376960207,22.5,112.74426807760142,0.42610868790427503
3911,50100,14,1173300,281.3688753858024,29.32060185185185,295.22102621857243,116.81450681450681,8225.976243460891,22.5,108.9243827160494,0.428973781427544
