index,seconds_of_day,day_of_year,timestamp,weaBus.HDirNor,totalHeatingPower.y,thermalZone.TAir,weaBus.TDryBul,weaDat.weaBus.HGloHor,weaBus.HDifHor,roomTempUpperSetpoint,u
2194,53400,8,658200,0.0,5132.273565812765,297.5946950193449,282.1635568326947,3.274853801169591,3.274853801169591,23.0,0.951078048165428
2195,53700,8,658500,0.0,5122.067533267731,297.8483295067951,282.1170657726692,2.623720760233918,2.623720760233918,23.0,0.9491867355945038
2196,54000,8,658800,0.0,5115.263511571038,298.00238472061693,282.07,2.0131578947368425,2.0131578947368425,23.0,0.9479258605472203
2197,54300,8,659100,0.0,5127.510750625079,298.09736503123673,282.0226130467752,1.4574195906432745,1.4574195906432745,23.0,0.9501954356323293
2198,54600,8,659400,0.0,5140.438391848792,298.161721592528,281.97512372286076,0.9707602339181287,0.9707602339181287,23.0,0.9525910982221674
2199,54900,8,659700,0.0,5148.603217884819,298.20629252040186,281.92755657327587,0.5674342105263159,0.5674342105263159,23.0,0.9541041482789067
2200,55200,8,660000,0.0,5140.438391848792,298.2389375854063,281.8799361430396,0.26169590643274887,0.26169590643274887,23.0,0.9525910982221674
2201,55500,8,660300,0.0,5121.3871310980585,298.2596552951583,281.8322869771711,0.06779970760233933,0.06779970760233933,23.0,0.9490606480897749
2202,55800,8,660600,0.0,5126.149946285744,298.2712005766865,281.78463362068965,0.0,0.0,23.0,0.9499432606228733
2203,56100,8,660900,0.0,5267.673597576876,298.28292395629734,281.7370006186143,0.0,0.0,23.0,0.9761694616063548
2204,56400,8,661200,0.0,5261.549978049856,298.32757022429246,281.6894125159642,0.0,0.0,23.0,0.9750346740638003
2205,56700,8,661500,0.0,5247.94193465648,298.35698215915687,281.6418938577586,0.0,0.0,23.0,0.9725129239692352
2206,57000,8,661800,0.0,5252.024347674494,298.3746860079652,281.5944691890166,0.0,0.0,23.0,0.9732694489976049
2207,57300,8,662100,0.0,5245.220325977801,298.38995953047265,281.54716305475733,0.0,0.0,23.0,0.9720085739503214
2208,57600,8,662400,0.0,5264.271586728534,298.401123071177,281.5,0.0,0.0,23.0,0.9755390240827139
2209,57900,8,662700,0.0,5262.230380219528,298.4157493422192,281.45300057870367,0.0,0.0,23.0,0.9751607615685293
2210,58200,8,663000,0.0,5262.230380219528,298.4274560399129,281.4061510942761,0.0,0.0,23.0,0.9751607615685293
2211,58500,8,663300,0.0,5260.869575880192,298.4380317571686,281.3594247159091,0.0,0.0,23.0,0.974908586559073
2212,58800,8,663600,0.0,5254.745956353173,298.44715677602557,281.3127946127946,0.0,0.0,23.0,0.9737737990165186
