,T_in,T_out,heatPower,Q_solar
241,265.8319726850862,264.45001220703125,605.0,0.0
242,265.75429249823253,264.45001220703125,607.5,0.0
243,265.6838234786215,264.45001220703125,610.0,0.0
244,265.61990872110533,264.45001220703125,612.5,0.0
245,265.5619547351621,264.45001220703125,615.0,0.0
246,265.5094230507732,264.45001220703125,617.5,0.0
247,265.4618242989758,264.45001220703125,620.0,0.0
248,265.4187134408134,264.45001220703125,622.5,0.0
249,265.37968564646144,264.45001220703125,625.0,0.0
250,265.34437262469345,264.45001220703125,627.5,0.0
251,265.3124393115557,264.45001220703125,630.0,0.0
252,265.28358086777877,263.75,632.5,0.0
253,265.1943483006063,263.75,635.0,0.0
254,265.1133807360747,263.75,637.5,0.0
255,265.0399186049175,263.75,640.0,0.0
256,264.97327990107726,263.75,642.5,0.0
257,264.91284737178376,263.75,645.0,0.0
258,264.8580605969789,263.75,647.5,0.0
259,264.80841011903175,263.75,650.0,0.0
260,264.76343257986844,263.75,652.5,0.0
261,264.7227064677047,263.75,655.0,0.0
262,264.6858483085831,263.75,657.5,0.0
263,264.6525092233061,263.75,660.0,0.0
264,264.6223718027513,262.54998779296875,662.5,0.0
265,264.48685301066826,262.54998779296875,665.0,0.0
266,264.36378974894,262.54998779296875,667.5,0.0
267,264.25203440943346,262.54998779296875,670.0,0.0
268,264.1505584131692,262.54998779296875,672.5,0.0
269,264.0584315074944,262.54998779296875,675.0,0.0
270,263.974809331593,262.54998779296875,677.5,0.0
271,263.8989243936202,262.54998779296875,680.0,0.0
272,263.8300786809826,262.54998779296875,682.5,0.0
273,263.76763723026966,262.54998779296875,685.0,0.0
274,263.71102238202434,262.54998779296875,687.5,0.0
275,263.6597085912326,262.54998779296875,690.0,0.0
276,263.61321771931057,262.54998779296875,692.5,0.0
277,263.57111475554063,262.54998779296875,695.0,0.0
278,263.53300392613613,262.54998779296875,697.5,0.0
279,263.4985251548693,262.54998779296875,700.0,0.0
280,263.4673508431576,262.54998779296875,702.5,0.0
281,263.4391829406536,262.54998779296875,705.0,0.0
282,263.413750280085,262.54998779296875,707.5,0.0
283,263.3908061524926,262.54998779296875,710.0,0.0
284,263.37012610117654,262.54998779296875,712.5,0.0
285,263.3515059146222,262.54998779296875,715.0,0.0
286,263.3347598004572,262.54998779296875,717.5,0.0
287,263.31971872411117,262.54998779296875,720.0,0.0
288,263.3062288973223,262.54998779296875,722.5,0.0
289,263.2941504029753,262.54998779296875,725.0,0.0
290,263.2833559439741,262.54998779296875,727.5,0.0
291,263.27372970496157,262.54998779296875,730.0,0.0
292,263.2651663167082,262.54998779296875,732.5,0.0
293,263.25756991390875,262.54998779296875,735.0,0.0
294,263.25085327796285,262.54998779296875,737.5,0.0
295,263.24493705707334,262.54998779296875,740.0,0.0
296,263.239749056689,262.54998779296875,742.5,0.0
297,263.23522359394667,262.54998779296875,745.0,0.0
298,263.23130091034056,262.54998779296875,747.5,0.0
299,263.22792663736664,262.54998779296875,750.0,0.0
300,263.22505131036377,262.8500061035156,752.5,0.0
301,263.2497034904938,262.8500061035156,755.0,0.0
302,263.2723173252908,262.8500061035156,757.5,0.0
303,263.29308270719133,262.8500061035156,760.0,0.0
304,263.3121685212689,262.8500061035156,762.5,0.0
305,263.3297270317233,262.8500061035156,765.0,0.0
306,263.345896272473,262.8500061035156,767.5,0.0
307,263.36080164960777,262.8500061035156,770.0,0.0
308,263.3745571944767,262.8500061035156,772.5,0.0
309,263.38726663047146,262.8500061035156,775.0,0.0
310,263.3990243173718,262.8500061035156,777.5,0.0
311,263.40991610113497,262.8500061035156,780.0,0.0
312,263.42002008368104,264.6499938964844,782.5,0.0
313,263.5918487077794,264.6499938964844,785.0,0.0
314,263.74831717049307,264.6499938964844,787.5,0.0
315,263.89084714924064,264.6499938964844,790.0,0.0
316,264.0207088127489,264.6499938964844,792.5,0.0
317,264.1390494368034,264.6499938964844,795.0,0.0
318,264.24690983745313,264.6499938964844,797.5,0.0
319,264.3452358868889,264.6499938964844,800.0,0.0
320,264.4348877616592,264.6499938964844,802.5,0.0
321,264.51664791704417,264.6499938964844,805.0,0.0
322,264.5912281848636,264.6499938964844,807.5,0.0
323,264.65927617480963,264.6499938964844,810.0,0.0
324,264.7213810782676,264.95001220703125,812.5,0.0
325,264.80515250573825,264.95001220703125,815.0,0.0
326,264.8815532447402,264.95001220703125,817.5,0.0
327,264.9512541459881,264.95001220703125,820.0,0.0
328,265.01486167202967,264.95001220703125,822.5,0.0
329,265.07292619659177,264.95001220703125,825.0,0.0
330,265.12594795506374,264.95001220703125,827.5,0.0
331,265.174381885735,264.95001220703125,830.0,0.0
332,265.2186418295367,264.95001220703125,832.5,0.0
333,265.259104277699,264.95001220703125,835.0,0.0
334,265.2961117551648,264.95001220703125,837.5,0.0
335,265.32997588945165,264.95001220703125,840.0,0.0
336,265.3609801993574,266.54998779296875,842.5,0.0
337,265.53377497380853,266.54998779296875,845.0,0.0
338,265.69112871447487,266.54998779296875,847.5,0.0
