,T_in,T_out,heatPower,Q_solar
357,270.63806,267.15,40.0,0.0
358,270.38547,267.15,42.0,0.0
359,270.11792,267.15,38.666668,0.0
360,269.86084,267.45,43.333332,0.0
361,269.64938,267.45,45.333332,0.0
362,269.4554,267.45,42.0,0.0
363,269.2782,267.45,41.333332,0.0
364,269.11667,267.45,44.666668,0.0
365,268.9698,267.45,47.333332,0.0
366,268.8363,267.45,42.666668,0.0
367,268.7147,267.45,38.0,0.0
368,268.60376,267.45,40.0,0.0
369,268.5028,267.45,40.0,0.0
370,268.41095,267.45,42.0,0.0
371,268.32748,267.45,37.333332,0.0
372,268.25134,267.55,42.666668,0.0
373,268.1913,267.55,38.666668,0.0
374,268.13657,267.55,39.333332,0.0
375,268.08673,267.55,40.666668,0.0
376,268.04144,267.55,4727.3335,0.0
377,268.23456,267.55,5146.6665,0.0
378,268.51505,267.55,5152.6665,0.0
379,268.808,267.55,5180.6665,0.0
380,269.0895,267.55,488.66666,0.0
381,269.11636,267.55,39.333332,0.0
382,269.03635,267.55,44.0,0.0
383,268.9264,267.55,41.333332,0.0
384,268.81293,268.45,45.333332,274.69324
385,268.8077,268.45,47.333332,274.69324
386,268.8014,268.45,44.0,274.69324
387,268.79492,268.45,43.333332,274.69324
388,268.78873,268.45,42.0,274.69324
389,268.78293,268.45,41.333332,274.69324
390,268.77756,268.45,41.333332,274.69324
391,268.77264,268.45,41.333332,274.69324
392,268.76816,268.45,38.0,274.69324
393,268.7639,268.45,44.0,274.69324
394,268.76025,268.45,46.0,274.69324
395,268.75714,268.45,47.333332,274.69324
396,268.75443,269.05,4884.6665,597.2636
397,269.0731,269.05,5134.0,597.2636
398,269.462,269.05,5125.3335,597.2636
399,269.8508,269.05,5119.3335,597.2636
400,270.21674,269.05,5107.3335,597.2636
401,270.55344,269.05,5114.6665,597.2636
402,270.86148,269.05,5119.3335,597.2636
403,271.1426,269.05,5138.6665,597.2636
404,271.39963,269.05,506.0,597.2636
405,271.40234,269.05,44.0,597.2636
406,271.299,269.05,44.0,597.2636
407,271.16714,269.05,40.666668,597.2636
408,271.03348,269.75,48.0,189.36
409,270.93872,269.75,42.0,189.36
410,270.8506,269.75,41.333332,189.36
411,270.76968,269.75,40.0,189.36
412,270.69574,269.75,46.666668,189.36
413,270.6287,269.75,44.0,189.36
414,270.56763,269.75,43.333332,189.36
415,270.51202,269.75,41.333332,189.36
416,270.4613,269.75,4781.3335,189.36
417,270.65207,269.75,5162.6665,189.36
418,270.92947,269.75,5154.0,189.36
419,271.21857,269.75,5140.6665,189.36
420,271.49405,269.75,547.3333,473.4
421,271.54163,269.75,42.0,473.4
422,271.4791,269.75,39.333332,473.4
423,271.38422,269.75,38.666668,473.4
424,271.28427,269.75,4722.6665,473.4
425,271.4226,269.75,5155.3335,473.4
426,271.65213,269.75,5144.6665,473.4
427,271.89752,269.75,5165.3335,473.4
428,272.1349,269.75,545.3333,473.4
429,272.12494,269.75,39.333332,473.4
430,272.00977,269.75,40.666668,473.4
431,271.86707,269.75,41.333332,473.4
432,271.72372,271.45,41.333332,244.59
433,271.72406,271.45,40.666668,244.59
434,271.72256,271.45,44.666668,244.59
435,271.72073,271.45,42.0,244.59
436,271.71878,271.45,4728.6665,244.59
437,271.9512,271.45,5167.3335,244.59
438,272.26837,271.45,5161.3335,244.59
439,272.59445,271.45,5142.6665,244.59
440,272.90363,271.45,5184.6665,244.59
441,273.19147,271.45,5178.0,244.59
442,273.45535,271.45,5196.0,244.59
443,273.69708,271.45,5188.6665,244.59
444,273.9172,271.95,5198.6665,347.16
445,274.17117,271.95,5191.3335,347.16
446,274.40204,271.95,5182.6665,347.16
447,274.6116,271.95,5178.6665,347.16
448,274.80188,271.95,5176.0,347.16
449,274.97473,271.95,5166.6665,347.16
450,275.1314,271.95,5180.0,347.16
451,275.27444,271.95,5178.0,347.16
452,275.40463,271.95,486.0,347.16
453,275.28854,271.95,43.333332,347.16
454,275.07687,271.95,40.666668,347.16
455,274.84625,271.95,44.0,347.16
456,274.62296,274.05,4775.3335,236.7
457,274.83243,274.05,5160.0,236.7
458,275.12506,274.05,5152.0,236.7
459,275.42743,274.05,5132.6665,236.7
460,275.71448,274.05,521.3333,236.7
461,275.7494,274.05,38.0,236.7
462,275.67606,274.05,40.0,236.7
463,275.5718,274.05,43.333332,236.7
464,275.4637,274.05,40.666668,236.7
465,275.3605,274.05,39.333332,236.7
466,275.2648,274.05,38.666668,236.7
467,275.17703,274.05,41.333332,236.7
468,275.09708,274.65,42.0,31.56
469,275.0625,274.65,38.0,31.56
470,275.03082,274.65,40.666668,31.56
471,275.00208,274.65,40.0,31.56
472,274.9759,274.65,4722.6665,31.56
473,275.18616,274.65,5051.3335,31.56
474,275.47763,274.65,5031.3335,31.56
475,275.77768,274.65,5039.3335,31.56
476,276.0635,274.65,5026.6665,31.56
477,276.32755,274.65,5010.0,31.56
478,276.56833,274.65,5017.3335,31.56
479,276.788,274.65,5011.3335,31.56
480,276.98773,273.85,5000.0,0.0
481,277.0942,273.85,5004.6665,0.0
482,277.19113,273.85,5086.6665,0.0
483,277.28342,273.85,5155.3335,0.0
484,277.37228,273.85,516.0,0.0
485,277.22296,273.85,40.666668,0.0
486,276.98102,273.85,40.0,0.0
487,276.7229,273.85,42.666668,0.0
488,276.4746,273.85,38.666668,0.0
489,276.24368,273.85,38.0,0.0
490,276.03177,273.85,40.0,0.0
491,275.8384,273.85,42.0,0.0
492,275.66238,273.65,4660.6665,0.0
493,275.71506,273.65,5082.6665,0.0
494,275.86667,273.65,5060.6665,0.0
495,276.0406,273.65,5050.6665,0.0
496,276.2112,273.65,417.33334,0.0
497,276.13925,273.65,42.666668,0.0
498,275.97375,273.65,38.0,0.0
499,275.78717,273.65,40.666668,0.0
500,275.60468,273.65,4684.6665,0.0
501,275.66623,273.65,5061.3335,0.0
502,275.82248,273.65,5038.0,0.0
503,275.99936,273.65,5028.6665,0.0
504,276.17224,273.05,5018.6665,0.0
505,276.27914,273.05,5012.0,0.0
506,276.37744,273.05,5024.0,0.0
507,276.46783,273.05,5036.6665,0.0
508,276.55106,273.05,5044.6665,0.0
509,276.62753,273.05,5036.6665,0.0
