index,seconds_of_day,day_of_year,timestamp,weaBus.TDryBul,weaBus.HDirNor,weaDat.weaBus.HGloHor,roomTempUpperSetpoint,totalHeatingPower.y,thermalZone.TAir,weaBus.HDifHor,u
761,55500,3,228300,274.5072580190301,0.042113095238095255,0.08368477952162223,21.0,151.45259594883575,291.5672848334253,0.06032652243589709,0.007060900264783758
762,55800,3,228600,274.4205355525362,0.0,0.0,21.0,156.861617232723,291.4882642495118,0.0,0.007313075274240332
763,56100,3,228900,274.33461666645695,0.0,0.0,21.0,162.27063851660986,291.4171137836293,0.0,0.00756525028369689
764,56400,3,229200,274.25015633387005,0.0,0.0,21.0,151.45259594883575,291.3508366450497,0.0,0.007060900264783758
765,56700,3,229500,274.16780952785325,0.0,0.0,21.0,162.27063851660986,291.28454656071426,0.0,0.00756525028369689
766,57000,3,229800,274.08823122148414,0.0,0.0,21.0,167.67965980049675,291.22300103930223,0.0,0.007817425293153447
767,57300,3,230100,274.01207638784047,0.0,0.0,21.0,181.2022130102145,291.1634256627236,0.0,0.008447862816794867
768,57600,3,230400,273.94,0.0,0.0,21.0,181.2022130102145,291.10666573654817,0.0,0.008447862816794867
769,57900,3,230700,273.8723394396267,0.0,0.0,21.0,170.38417044244036,291.05016601470777,0.0,0.007943512797881734
770,58200,3,231000,273.80871017132597,0.0,0.0,21.0,181.2022130102145,290.992188916464,0.0,0.008447862816794867
771,58500,3,231300,273.7486842925873,0.0,0.0,21.0,186.61123429410137,290.9376077104294,0.0,0.008700037826251424
772,58800,3,231600,273.6918339009002,0.0,0.0,21.0,175.79319172632725,290.8844559186252,0.0,0.008195687807338292
773,59100,3,231900,273.6377310937541,0.0,0.0,21.0,181.2022130102145,290.8298453542961,0.0,0.008447862816794867
774,59400,3,232200,273.5859479686386,0.0,0.0,21.0,173.088681084384,290.77752131871523,0.0,0.008069600302610022
775,59700,3,232500,273.5360566230432,0.0,0.0,21.0,183.90672365215775,290.7241878996226,0.0,0.008573950321523137
776,60000,3,232800,273.48762915445735,0.0,0.0,21.0,159.56612787466625,290.6744647609915,0.0,0.007439162778968602
777,60300,3,233100,273.4402376603706,0.0,0.0,21.0,164.9751491585535,290.6209177160815,0.0,0.007691337788425177
778,60600,3,233400,273.39345423827245,0.0,0.0,21.0,178.49770236827086,290.5705483689953,0.0,0.00832177531206658
779,60900,3,233700,273.3468509856524,0.0,0.0,21.0,175.79319172632725,290.5234549445537,0.0,0.008195687807338292
780,61200,3,234000,273.29999999999995,0.0,0.0,21.0,170.38417044244036,290.47593491931025,0.0,0.007943512797881734
781,61500,3,234300,273.25259544771154,0.0,0.0,21.0,175.79319172632725,290.42772287997064,0.0,0.008195687807338292
782,61800,3,234600,273.2048610749703,0.0,0.0,21.0,178.49770236827086,290.38158717651316,0.0,0.00832177531206658
783,62100,3,234900,273.1571633489461,0.0,0.0,21.0,175.79319172632725,290.3361513569344,0.0,0.008195687807338292
784,62400,3,235200,273.1098687368086,0.0,0.0,21.0,183.90672365215775,290.2904148286852,0.0,0.008573950321523137
785,62700,3,235500,273.06334370572756,0.0,0.0,21.0,178.49770236827086,290.24662055760103,0.0,0.00832177531206658
786,63000,3,235800,273.01795472287273,0.0,0.0,21.0,186.61123429410137,290.2018181766635,0.0,0.008700037826251424
787,63300,3,236100,272.97406825541384,0.0,0.0,21.0,183.90672365215775,290.15912093450703,0.0,0.008573950321523137
788,63600,3,236400,272.9320507705207,0.0,0.0,21.0,175.79319172632725,290.11587667680544,0.0,0.008195687807338292
789,63900,3,236700,272.89226873536296,0.0,0.0,21.0,170.38417044244036,290.07169774860637,0.0,0.007943512797881734
790,64200,3,237000,272.8550886171104,0.0,0.0,21.0,170.38417044244036,290.027967848077,0.0,0.007943512797881734
791,64500,3,237300,272.82087688293285,0.0,0.0,21.0,159.56612787466625,289.9853962295138,0.0,0.007439162778968602
792,64800,3,237600,272.78999999999996,0.0,0.0,21.0,183.90672365215775,289.94216621339825,0.0,0.008573950321523137
793,65100,3,237900,272.7620174802298,0.0,0.0,21.0,178.49770236827086,289.90464852096176,0.0,0.00832177531206658
794,65400,3,238200,272.7360929055015,0.0,0.0,21.0,19342.6601111799,289.86548118281337,0.0,0.9017778338166693
795,65700,3,238500,272.7119988479262,0.0,0.0,21.0,20997.82062404932,293.18404373570274,0.0,0.9789433867103776
796,66000,3,238800,272.6895078796154,0.0,0.0,21.0,20884.23117708769,295.15291080548946,0.0,0.9736477115117897
797,66300,3,239100,272.6683925726802,0.0,0.0,21.0,20859.8905813102,296.14055071554276,0.0,0.9725129239692352
798,66600,3,239400,272.6484254992319,0.0,0.0,21.0,20770.641730126063,296.6496039263964,0.0,0.9683520363132019
799,66900,3,239700,272.6293792313819,0.0,0.0,21.0,20489.372623363954,296.90849203350626,0.0,0.9552389358214612
800,67200,3,240000,272.61102634124137,0.0,0.0,21.0,20373.07866576037,297.00726013780445,0.0,0.9498171731181446
801,67500,3,240300,272.59313940092164,0.0,0.0,21.0,20243.262154947082,297.05381723250554,0.0,0.943764972891187
802,67800,3,240600,272.57549098253395,0.0,0.0,21.0,20229.73960173738,297.0718782369585,0.0,0.9431345353675463
803,68100,3,240900,272.55785365818963,0.0,0.0,21.0,20459.62300630255,297.09441682630705,0.0,0.953851973269449
804,68400,3,241200,272.53999999999996,0.0,0.0,21.0,20492.07713400587,297.1605802021768,0.0,0.9553650233261883
805,68700,3,241500,272.522876344086,0.0,0.0,21.0,20481.259091438125,297.21474877422196,0.0,0.9548606733072765
806,69000,3,241800,272.50736559139784,0.0,0.0,21.0,20446.100453092844,297.25459200001364,0.0,0.9532215357458081
807,69300,3,242100,272.4931451612903,0.0,0.0,21.0,20448.8049637348,297.28283436251763,0.0,0.953347623250537
808,69600,3,242400,272.47989247311824,0.0,0.0,21.0,20773.34624076802,297.3111453863524,0.0,0.9684781238179307
809,69900,3,242700,272.46728494623653,0.0,0.0,21.0,20832.845474890753,297.39508813866496,0.0,0.9712520489219518
810,70200,3,243000,272.455,0.0,0.0,21.0,20776.05075140994,297.4611965771833,0.0,0.968604211322658
