row: origin/col: dest/entries: meters,West End,Knightsbridge ,Bromley ,Croydon ,Ealing,Shepherds Bush,Wood Green ,Harrow ,Romford ,Uxbridge ,Hounslow ,Kingston ,Ilford ,Sutton ,Barking ,Edgware ,Bexleyheath ,Wembley ,Kilburn ,Orpington ,Camden Town ,Southall ,Enfield Town ,Eltham ,Woolwich ,Dalston ,Fulham ,Hammersmith ,Chiswick ,Angel ,Nags Head ,Kensington High Street ,Kings Road East ,Brixton ,Streatham ,Catford ,Lewisham ,Wimbledon ,East Ham ,Stratford ,Richmond ,Peckham ,Canary Wharf ,Walthamstow ,Clapham Junction ,Putney ,Tooting ,Wandsworth ,Queensway-Westbourne Grove
Garden Suburb	Barnet	London,10992,14210,30127,30720,20833,17505,8093,20155,35266,31078,33271,32474,26864,32890,28241,13561,34551,14450,9104,35556,7565,22917,13600,29599,29810,10557,20412,18953,24280,11737,15967,17399,16960,18183,27587,25117,27759,31559,27862,23616,28860,20446,20212,16529,19439,22478,26762,27782,15111
Golders Green	Barnet	London,9538,12755,32026,29263,27341,16050,17416,13831,34630,27581,31287,31062,25409,31435,26786,11011,33096,11730,5320,34101,6081,29688,18572,28166,26769,13951,17621,17498,14222,10282,14513,10638,15339,16728,25934,23607,24905,25213,26407,22162,27315,18995,18514,21107,17924,21032,25307,23832,13657
Hale	Barnet	London,19741,22958,36297,38371,21957,18159,15196,11383,40208,25771,39979,43337,35018,44382,32584,830,44762,14311,11251,43710,15691,21467,17802,37755,36378,23560,22495,27701,20134,19891,20583,27092,21089,26363,30294,32715,34013,37918,31051,32589,23301,30102,28123,30436,24307,30131,32564,29936,23860
Hendon	Barnet	London,12512,15730,31950,32238,16790,20517,12270,11112,37604,23278,34791,34020,28384,34410,28481,8938,36084,10062,7147,37076,9056,21033,16301,31944,31330,17294,20988,20473,16206,13256,16480,12465,17881,19729,28124,26637,29279,32805,27484,25954,19373,23467,21488,23802,19182,23997,28282,29303,16631
High Barnet	Barnet	London,20241,25989,42297,41468,37612,27814,12346,18438,43678,34189,43370,41759,35681,41706,37130,9162,45728,21587,23082,44372,16382,40450,10553,38847,37040,24222,29259,28201,33529,20553,24442,27592,26315,27025,36205,33422,34720,40375,35976,33251,37599,30764,28785,18163,26478,31316,35579,30785,24360
Mill Hill	Barnet	London,15177,18395,39839,34877,22556,21690,11544,13708,41254,25331,37034,37281,31306,42310,32426,4389,41096,14942,13697,39741,11750,25933,16780,33783,33995,17499,24597,23138,28465,15929,20444,21214,21251,22368,32959,28358,29656,30151,32046,27801,32945,29546,24396,26928,23503,26662,27761,26153,19296
Oakleigh	Barnet	London,17059,19882,36894,37182,35943,22964,6239,18999,38547,43462,38384,38577,24321,39362,30923,9708,42675,21473,19002,41623,14038,36788,12968,35668,34290,15419,25932,24625,29930,18209,18922,22047,22385,24681,29485,30240,31538,37639,29389,30907,34926,28420,26441,13736,24134,28972,33235,33850,21178
Totteridge	Barnet	London,17970,22285,41813,39685,38439,25975,8642,15901,41839,29858,40816,39473,30650,44237,33570,6596,48199,18356,15890,42653,14481,39325,13694,36583,35201,17975,27152,27010,30958,18714,21569,25596,24717,27144,34933,31109,32449,38550,33460,30657,27940,28932,26884,16314,26629,31466,33747,28152,23672
Underhill	Barnet	London,19509,21807,41997,39234,37312,27514,8355,19785,44677,48012,41058,41027,35381,41406,36830,11261,45124,31955,22782,44072,16082,38756,9424,38117,36740,23507,26864,26741,31982,20253,24300,25915,24437,26725,35905,32690,33988,40089,35315,32951,38675,29625,28485,15852,26178,31016,35279,36299,23628
West Finchley	Barnet	London,12530,15747,35018,32255,30333,20534,9058,13490,36398,30489,34279,34011,28401,34427,29851,7686,36101,24976,15803,37093,9102,32739,15501,31983,29761,16528,21005,20490,24873,13274,17505,19880,17458,19746,28926,25711,27009,33096,29399,22482,30320,21985,21506,23108,19199,24037,28299,23505,16649
