row: origin/col: dest/entries: meters,West End,Knightsbridge ,Bromley ,Croydon ,Ealing,Shepherds Bush,Wood Green ,Harrow ,Romford ,Uxbridge ,Hounslow ,Kingston ,Ilford ,Sutton ,Barking ,Edgware ,Bexleyheath ,Wembley ,Kilburn ,Orpington ,Camden Town ,Southall ,Enfield Town ,Eltham ,Woolwich ,Dalston ,Fulham ,Hammersmith ,Chiswick ,Angel ,Nags Head ,Kensington High Street ,Kings Road East ,Brixton ,Streatham ,Catford ,Lewisham ,Wimbledon ,East Ham ,Stratford ,Richmond ,Peckham ,Canary Wharf ,Walthamstow ,Clapham Junction ,Putney ,Tooting ,Wandsworth ,Queensway-Westbourne Grove
Ashburton	Croydon	London,18898,18779,8151,2525,32206,21586,47359,35222,57222,42111,35007,20390,32171,10360,29173,43671,21899,31789,26977,13713,21276,34497,48575,15226,18371,28610,16428,20607,23814,21045,25308,20133,16763,11524,8650,9969,10037,14123,27081,26052,25121,13840,22969,34079,14868,16871,10437,13670,21361
Bensham Manor	Croydon	London,16055,14820,10533,2592,28032,17412,47665,31048,62396,37938,25333,18939,32477,10427,29478,39497,22204,27615,22804,18886,18936,30323,48880,15531,18676,28915,12857,16433,19641,18706,17449,15959,12805,8593,5172,10272,10357,12672,27386,26357,19535,11552,23274,34384,10909,12493,7348,10099,17403
Broad Green	Croydon	London,16026,14792,11266,2457,28004,17384,48721,31020,62101,37910,31948,17332,33533,8819,30534,39469,23260,27587,22775,18591,18908,30295,49937,16587,19732,29972,12829,16405,19612,18678,18093,15931,12777,8535,5143,11328,11414,11064,28442,27414,19506,12621,24331,35440,10881,12465,7378,10071,17374
Coulsdon East	Croydon	London,25332,23479,17677,8324,40388,32141,90545,82571,72389,72284,31174,19530,70969,9651,69344,113522,53750,41198,30504,40288,33067,65833,97319,53573,63504,74405,28793,31385,33211,27983,71103,23660,21377,17840,14022,18836,18904,18577,71115,71847,31855,21802,68765,82612,19162,27194,12602,17834,26242
Coulsdon West	Croydon	London,25332,23479,17677,8324,40388,32141,90545,74537,72389,72284,31174,19530,70969,9651,69344,113522,53750,41198,30504,40288,33067,65833,97319,53573,63504,74405,28793,31385,33211,27983,71103,23660,21377,17840,14022,18836,18904,18577,71115,71847,31855,21802,68765,82612,19162,27194,12602,17834,26242
Croham	Croydon	London,21497,20262,12706,3081,33474,22854,52982,36490,59283,78438,35920,24276,37794,9586,34795,100416,27028,33057,28245,15773,24378,35765,84213,20234,23993,34232,18299,21875,25082,24148,30930,21401,18247,14310,10614,15847,15915,14893,32703,31674,25892,16560,28591,39701,16351,17641,11207,15541,22845
Fairfield	Croydon	London,21546,21426,8722,7094,34854,24234,49866,37870,54513,84248,40576,25318,34678,14311,31679,95646,22258,34437,29625,11003,23923,37145,79443,15463,20877,31116,19970,23255,26462,23693,27814,22781,19411,14172,11298,11863,11931,19051,29587,28558,30050,15802,25475,36585,17515,21799,15365,17212,24009
Fieldway	Croydon	London,1289,3116,17668,17096,18407,8445,12388,21423,26369,28312,20732,19776,20308,21191,17309,18579,22935,17990,7815,25283,4533,21377,37861,16654,17154,7726,6997,7487,10694,4442,5139,5312,5125,6121,10242,13359,13699,15081,15218,12899,14578,6701,8136,28712,7565,10428,11630,8999,5576
Heathfield	Croydon	London,19744,18510,11701,1318,31721,21102,51977,34737,59069,78576,34025,19408,36789,8536,33790,43186,26814,31304,26493,15559,22626,34013,83999,20019,22988,33227,16546,20123,23330,22396,20694,19648,16494,12547,8861,12655,12722,13140,31698,30669,24139,14797,27586,38696,14599,15888,9454,13788,21092
Kenley	Croydon	London,23974,22739,15536,6516,42975,34728,87048,88334,68891,78047,33762,22118,67472,11193,65846,110024,50253,43785,30723,17366,26855,73241,93821,21827,27240,37479,20776,24352,35799,26625,34178,23878,20724,16482,13091,19390,19457,18504,67617,34921,34443,19994,31839,79114,18828,20541,13684,18018,25322
