,UExt,URoof,UFloor,UWin,heatCapacity_wall,fAWin_south,fAWin_east,fAWin_west,fAWin_north,zone_length,weaDat.fileName,changes,UpperSP,LowerSP
123,0.7,0.7,0.7,1.7,30000,0.2,0.2,0.2,0.2,12,Munich,[],20.5,19.5
124,0.7,0.7,0.7,1.7,30000,0.2,0.2,0.2,0.2,12,Bratislava,[],21.0,21.0
125,0.7,0.7,0.7,1.7,30000,0.2,0.2,0.2,0.2,12,Amsterdam,[],23.0,22.0
126,0.7,0.7,0.7,1.7,165000,0.15,0.15,0.15,0.15,6,Munich,[],23.0,20.0
127,0.7,0.7,0.7,1.7,165000,0.15,0.15,0.15,0.15,6,Bratislava,[],21.0,18.5
128,0.7,0.7,0.7,1.7,165000,0.15,0.15,0.15,0.15,6,Amsterdam,[],22.5,22.0
129,0.7,0.7,0.7,1.7,165000,0.15,0.15,0.15,0.15,9,Munich,[],22.5,21.0
130,0.7,0.7,0.7,1.7,165000,0.15,0.15,0.15,0.15,9,Bratislava,[],20.0,18.5
131,0.7,0.7,0.7,1.7,165000,0.15,0.15,0.15,0.15,9,Amsterdam,[],21.0,21.0
132,0.7,0.7,0.7,1.7,165000,0.15,0.15,0.15,0.15,12,Munich,[],20.5,19.0
133,0.7,0.7,0.7,1.7,165000,0.15,0.15,0.15,0.15,12,Bratislava,[],21.0,21.0
134,0.7,0.7,0.7,1.7,165000,0.15,0.15,0.15,0.15,12,Amsterdam,[],21.0,21.0
135,0.7,0.7,0.7,1.7,165000,0.2,0.2,0.2,0.2,6,Munich,[],22.5,21.5
136,0.7,0.7,0.7,1.7,165000,0.2,0.2,0.2,0.2,6,Bratislava,[],22.5,22.5
137,0.7,0.7,0.7,1.7,165000,0.2,0.2,0.2,0.2,6,Amsterdam,[],21.0,19.0
138,0.7,0.7,0.7,1.7,165000,0.2,0.2,0.2,0.2,9,Munich,[],20.5,20.0
139,0.7,0.7,0.7,1.7,165000,0.2,0.2,0.2,0.2,9,Bratislava,[],23.0,20.0
140,0.7,0.7,0.7,1.7,165000,0.2,0.2,0.2,0.2,9,Amsterdam,[],21.0,19.0
141,0.7,0.7,0.7,1.7,165000,0.2,0.2,0.2,0.2,12,Munich,[],22.5,21.5
142,0.7,0.7,0.7,1.7,165000,0.2,0.2,0.2,0.2,12,Bratislava,[],21.5,20.5
143,0.7,0.7,0.7,1.7,165000,0.2,0.2,0.2,0.2,12,Amsterdam,[],20.0,19.5
144,0.7,0.7,0.7,1.7,300000,0.15,0.15,0.15,0.15,6,Munich,[],21.5,21.5
145,0.7,0.7,0.7,1.7,300000,0.15,0.15,0.15,0.15,6,Bratislava,[],22.0,20.0
146,0.7,0.7,0.7,1.7,300000,0.15,0.15,0.15,0.15,6,Amsterdam,[],21.5,21.5
147,0.7,0.7,0.7,1.7,300000,0.15,0.15,0.15,0.15,9,Munich,[],23.5,23.5
148,0.7,0.7,0.7,1.7,300000,0.15,0.15,0.15,0.15,9,Bratislava,[],22.0,20.5
149,0.7,0.7,0.7,1.7,300000,0.15,0.15,0.15,0.15,9,Amsterdam,[],20.0,18.5
150,0.7,0.7,0.7,1.7,300000,0.15,0.15,0.15,0.15,12,Munich,[],22.0,20.0
151,0.7,0.7,0.7,1.7,300000,0.15,0.15,0.15,0.15,12,Bratislava,[],20.5,20.5
152,0.7,0.7,0.7,1.7,300000,0.15,0.15,0.15,0.15,12,Amsterdam,[],23.5,21.0
153,0.7,0.7,0.7,1.7,300000,0.2,0.2,0.2,0.2,6,Munich,[],22.5,20.5
154,0.7,0.7,0.7,1.7,300000,0.2,0.2,0.2,0.2,6,Bratislava,[],21.0,21.0
