index,seconds_of_day,day_of_year,timestamp,weaBus.TDryBul,weaBus.HDirNor,weaDat.weaBus.HGloHor,roomTempUpperSetpoint,totalHeatingPower.y,thermalZone.TAir,weaBus.HDifHor,u
2496,57600,9,748800,277.72999999999996,0.0,0.0,24.0,21825.720289269742,305.7001476285193,0.0,0.9548606733072764
2497,57900,9,749100,277.60215822440085,0.0,0.0,24.0,21788.25371542046,305.7657280495393,0.0,0.9532215357458081
2498,58200,9,749400,277.4777886710239,0.0,0.0,24.0,21791.135759562723,305.81142656306406,0.0,0.953347623250537
2499,58500,9,749700,277.35709558823527,0.0,0.0,24.0,22136.98105663289,305.85935991127536,0.0,0.9684781238179307
2500,58800,9,750000,277.24028322440086,0.0,0.0,24.0,22200.386027762393,306.01219453549953,0.0,0.9712520489219518
2501,59100,9,750300,277.1275558278867,0.0,0.0,24.0,22139.863100775117,306.1200463300429,0.0,0.9686042113226581
2502,59400,9,750600,277.0191176470588,0.0,0.0,24.0,22232.088513327184,306.1713496998417,0.0,0.972639011473964
2503,59700,9,750900,276.9151729302832,0.0,0.0,24.0,22076.45812964561,306.2455925388813,0.0,0.9658302862186368
2504,60000,9,751200,276.8159259259259,0.0,0.0,24.0,22030.345423369574,306.2529483358662,0.0,0.9638128861429838
2505,60300,9,751500,276.7215808823529,0.0,0.0,24.0,22070.694041361083,306.265415142602,0.0,0.9655781112091792
2506,60600,9,751800,276.63234204793025,0.0,0.0,24.0,22050.51973236535,306.305498070291,0.0,0.9646954986760824
2507,60900,9,752100,276.5484136710239,0.0,0.0,24.0,22076.45812964561,306.3372889418352,0.0,0.9658302862186368
2508,61200,9,752400,276.46999999999997,0.0,0.0,24.0,22047.637688223083,306.3790266377089,0.0,0.9645694111713534
2509,61500,9,752700,276.39842542638354,0.0,0.0,24.0,22044.75564408082,306.40767136444697,0.0,0.9644433236666246
2510,61800,9,753000,276.33442133658195,0.0,0.0,24.0,22044.75564408082,306.4381199414297,0.0,0.9644433236666246
2511,62100,9,753300,276.2773024712844,0.0,0.0,24.0,22053.401776507573,306.46933334606996,0.0,0.9648215861808095
2512,62400,9,753600,276.22638357117995,0.0,0.0,24.0,22090.868350356854,306.503580128783,0.0,0.9664607237422776
2513,62700,9,753900,276.18097937695785,0.0,0.0,24.0,22096.632438641343,306.5469134314896,0.0,0.9667128987517337
2514,63000,9,754200,276.14040462930734,0.0,0.0,24.0,21863.186863118983,306.5839257890058,0.0,0.9564998108687429
2515,63300,9,754500,276.10397406891747,0.0,0.0,24.0,21825.720289269742,306.54541711816603,0.0,0.9548606733072764
2516,63600,9,754800,276.0710024364775,0.0,0.0,24.0,21799.781891989478,306.5349144426644,0.0,0.9537258857647218
2517,63900,9,755100,276.0408044726766,0.0,0.0,24.0,21831.48437755423,306.5390539811792,0.0,0.9551128483167323
2518,64200,9,755400,276.0126949182039,0.0,0.0,24.0,21776.725538851442,306.56554667296035,0.0,0.9527171857268946
2519,64500,9,755700,275.9859885137487,0.0,0.0,24.0,21819.956200985212,306.5744201391649,0.0,0.9546084982978187
