Ward name,Latitude,Longitude,Number of dwellings (on council tax register) (2015),Median Household income estimate (2012/13),Estimated ward-level income (£/a),Resulting origin sizes (21% of household budget) (10^8 £/a)
Lambeth - Brixton Hill,51.453349,-0.120576,6880,"39,050","268,664,000",0.56
Lambeth - Clapham Common,51.457831,-0.148165,5750,"49,520","284,740,000",0.60
Lambeth - Clapham Town,51.461903,-0.145376,6590,"44,960","296,286,400",0.62
Lambeth - Coldharbour,51.465633,-0.102982,7370,"32,220","237,461,400",0.50
Lambeth - Ferndale,51.462783,-0.122067,6850,"39,480","270,438,000",0.57
Lambeth - Gipsy Hill,51.42357,-0.083542,6500,"36,650","238,225,000",0.50
Lambeth - Herne Hill,51.454547,-0.096661,6720,"41,700","280,224,000",0.59
Lambeth - Knight's Hill,51.427752,-0.104649,6190,"36,950","228,720,500",0.48
Lambeth - Larkhall,51.472149,-0.129386,7810,"37,260","291,000,600",0.61
Lambeth - Oval,51.482021,-0.112792,7710,"39,200","302,232,000",0.63
Lambeth - Prince's,51.464006,-0.142031,7590,"37,600","285,384,000",0.60
Lambeth - St. Leonard's,51.415821,-0.123731,6630,"39,880","264,404,400",0.56
Lambeth - Stockwell,51.468813,-0.125439,6570,"35,050","230,278,500",0.48
Lambeth - Streatham Hill,51.44695,-0.125802,6440,"39,250","252,770,000",0.53
Lambeth - Streatham South,51.427871,-0.124058,5440,"36,710","199,702,400",0.42
Lambeth - Streatham Wells,51.455325,-0.118401,6460,"38,270","247,224,200",0.52
Lambeth - Thornton,51.462651,-0.091484,5600,"41,880","234,528,000",0.49
Lambeth - Thurlow Park,51.439594,-0.099645,6040,"41,600","251,264,000",0.53
Lambeth - Tulse Hill,51.44477,-0.101123,6800,"35,610","242,148,000",0.51
Lambeth - Vassall,51.477501,-0.107931,7090,"34,830","246,944,700",0.52
Lewisham - Bellingham,51.431226,-0.014319,6370,"31,340","199,635,800",0.42
Lewisham - Blackheath,51.466677,0.0035,6780,"44,870","304,218,600",0.64
Lewisham - Brockley,51.463606,-0.036092,8130,"38,100","309,753,000",0.65
Lewisham - Catford South,51.444641,-0.020106,5870,"39,070","229,340,900",0.48
Lewisham - Crofton Park,51.451706,-0.033394,6360,"42,560","270,681,600",0.57
Lewisham - Downham,51.425291,0.005105,6310,"30,880","194,852,800",0.41
Lewisham - Evelyn,51.485862,-0.034828,7550,"30,560","230,728,000",0.48
Lewisham - Forest Hill,51.439778,-0.054642,6720,"40,960","275,251,200",0.58
Lewisham - Grove Park,51.435473,0.020279,6380,"36,150","230,637,000",0.48
Lewisham - Ladywell,51.454559,-0.022312,5750,"40,290","231,667,500",0.49
Lewisham - Lee Green,51.463582,0.004675,6330,"42,760","270,670,800",0.57
Lewisham - Lewisham Central,51.437692,-0.051923,9020,"35,760","322,555,200",0.68
Lewisham - New Cross,51.471022,-0.040245,7220,"31,520","227,574,400",0.48
Lewisham - Perry Vale,51.435123,-0.046842,6830,"39,130","267,257,900",0.56
Lewisham - Rushey Green,51.447302,-0.018435,6670,"34,670","231,248,900",0.49
Lewisham - Sydenham,51.42476,-0.059399,7240,"37,060","268,314,400",0.56
Lewisham - Telegraph Hill,51.467806,-0.044844,6870,"37,230","255,770,100",0.54
Lewisham - Whitefoot,51.433299,0.00735,5900,"32,840","193,756,000",0.41
Merton - Abbey,51.416085,-0.185232,4730,"45,370","214,600,100",0.45
Merton - Cannon Hill,51.40181,-0.216822,3540,"42,320","149,812,800",0.31
Merton - Colliers Wood,51.41717,-0.179942,4540,"38,780","176,061,200",0.37
Merton - Cricket Green,51.400872,-0.165995,4460,"29,930","133,487,800",0.28
Merton - Dundonald,51.416594,-0.208294,4110,"49,910","205,130,100",0.43
Merton - Figge's Marsh,51.413133,-0.160238,4570,"30,860","141,030,200",0.30
Merton - Graveney,51.429784,-0.170135,3660,"35,580","130,222,800",0.27
Merton - Hillside,51.419994,-0.219987,4450,"51,480","229,086,000",0.48
Merton - Lavender Fields,51.409228,-0.170661,4290,"33,360","143,114,400",0.30
Merton - Longthornton,51.408361,-0.138997,4080,"34,350","140,148,000",0.29
