index,seconds_of_day,day_of_year,timestamp,weaDat.weaBus.HGloHor,weaBus.HDirNor,roomTempUpperSetpoint,weaBus.HDifHor,weaBus.TDryBul,thermalZone.TAir,totalHeatingPower.y,u
3669,63900,13,1100700,0.0,0.0,23.5,0.0,280.73249999999996,297.0745028294388,148.35342009325095,0.008195687807338292
3670,64200,13,1101000,0.0,0.0,23.5,0.0,280.7283333333333,296.56150612691874,16191.064032946497,0.8944647585424284
3671,64500,13,1101300,0.0,0.0,23.5,0.0,280.72416666666663,301.5641605158458,17560.48021842266,0.9701172613793974
3672,64800,13,1101600,0.0,0.0,23.5,0.0,280.71999999999997,304.11902726397756,17528.527174094892,0.9683520363132018
3673,65100,13,1101900,0.0,0.0,23.5,0.0,280.72150660569105,305.2004709694671,17533.09189471314,0.9686042113226581
3674,65400,13,1102200,0.0,0.0,23.5,0.0,280.73313008130077,305.6796625599836,17537.656615331412,0.9688563863321157
3675,65700,13,1102500,0.0,0.0,23.5,0.0,280.7530259146341,305.9086899327167,17528.527174094892,0.9683520363132018
3676,66000,13,1102800,0.0,0.0,23.5,0.0,280.7793495934959,306.02813351817076,17537.656615331412,0.9688563863321157
3677,66300,13,1103100,0.0,0.0,23.5,0.0,280.81025660569105,306.10821187185485,17681.44531480641,0.9767998991299973
3678,66600,13,1103400,0.0,0.0,23.5,0.0,280.84390243902436,306.216035299175,1775.6763205007599,0.09809607867860307
3679,66900,13,1103700,0.0,0.0,23.5,0.0,280.8784425813008,301.0755570122552,148.35342009325095,0.008195687807338292
3680,67200,13,1104000,0.0,0.0,23.5,0.0,280.91203252032517,298.3695109391611,157.48286132975883,0.008700037826251424
3681,67500,13,1104300,0.0,0.0,23.5,0.0,280.9428277439024,297.20705546008554,150.635780402378,0.00832177531206658
3682,67800,13,1104600,0.0,0.0,23.5,0.0,280.96898373983737,296.6830887385098,146.07105978412423,0.008069600302610022
3683,68100,13,1104900,0.0,0.0,23.5,0.0,280.98865599593495,296.42659454329635,139.2239788567434,0.007691337788425177
3684,68400,13,1105200,0.0,0.0,23.5,0.0,281.0,296.2793701132482,150.635780402378,0.00832177531206658
3685,68700,13,1105500,0.0,0.0,23.5,0.0,281.0063704590915,296.18624877465015,159.76522163888586,0.008826125330979711
3686,69000,13,1105800,0.0,0.0,23.5,0.0,281.01229932894563,296.1148628823139,16350.829254585393,0.9032908838734086
3687,69300,13,1106100,0.0,0.0,23.5,0.0,281.01770797038324,301.3549966301296,17448.644563275462,0.9639389736477126
3688,69600,13,1106400,0.0,0.0,23.5,0.0,281.022517744225,303.9247510127913,17364.197231837756,0.9592737359727658
3689,69900,13,1106700,0.0,0.0,23.5,0.0,281.02665001129174,304.9985748102316,17608.409784914325,0.9727650989786911
3690,70200,13,1107000,0.0,0.0,23.5,0.0,281.03002613240415,305.5568783740574,17628.95102769647,0.9738998865212457
3691,70500,13,1107300,0.0,0.0,23.5,0.0,281.032567468383,305.826396574135,17754.48084469846,0.9808346992813017
3692,70800,13,1107600,0.0,0.0,23.5,0.0,281.034195380049,306.0096654634157,17761.327925625843,0.9812129617954867
3693,71100,13,1107900,0.0,0.0,23.5,0.0,281.03483122822297,306.1181779911624,17768.17500655322,0.9815912243096714
3694,71400,13,1108200,0.0,0.0,23.5,0.0,281.0343963737256,306.1951527875839,1583.958054534097,0.08750472828142743
3695,71700,13,1108500,0.0,0.0,23.5,0.0,281.0328121773777,300.94874704384466,139.2239788567434,0.007691337788425177
3696,72000,13,1108800,0.0,0.0,23.5,0.0,281.03,298.26325161055786,148.35342009325095,0.008195687807338292
3697,72300,13,1109100,0.0,0.0,23.5,0.0,281.02660328483245,297.10951264950995,143.78869947499717,0.007943512797881734
3698,72600,13,1109400,0.0,0.0,23.5,0.0,281.02327601410934,296.5927833521156,16526.570998388157,0.9129996217374857
3699,72900,13,1109700,0.0,0.0,23.5,0.0,281.01995535714286,301.7075434741027,17795.563330262747,0.9831042743664109
3700,73200,13,1110000,0.0,0.0,23.5,0.0,281.01657848324515,304.27956846384507,17772.739727171465,0.9818433993191275
3701,73500,13,1110300,0.0,0.0,23.5,0.0,281.01308256172837,305.3735918056247,17836.645815827032,0.9853738494515201
3702,73800,13,1110600,0.0,0.0,23.5,0.0,281.00940476190476,305.8796884165148,1456.145877222986,0.08044382801664353
3703,74100,13,1110900,0.0,0.0,23.5,0.0,281.00548225308637,300.7477988214743,146.07105978412423,0.008069600302610022
3704,74400,13,1111200,0.0,0.0,23.5,0.0,281.0012522045855,298.1534156529101,146.07105978412423,0.008069600302610022
3705,74700,13,1111500,0.0,0.0,23.5,0.0,280.9966517857143,297.0401844022744,157.48286132975883,0.008700037826251424
3706,75000,13,1111800,0.0,0.0,23.5,0.0,280.9916181657848,296.543770913784,16332.570372112388,0.902282183835583
3707,75300,13,1112100,0.0,0.0,23.5,0.0,280.9860885141093,301.59925343688684,17665.46879264251,0.9759172865968988
3708,75600,13,1112400,0.0,0.0,23.5,0.0,280.97999999999996,304.1677263240489,17663.186432333372,0.9757911990921699
3709,75900,13,1112700,0.0,0.0,23.5,0.0,280.9736304012346,305.267392698919,17665.46879264251,0.9759172865968988
3710,76200,13,1113000,0.0,0.0,23.5,0.0,280.9672839506173,305.7560013121901,1914.9002993575011,0.10578741646702812
3711,76500,13,1113300,0.0,0.0,23.5,0.0,280.9609375,300.8225198295034,152.91814071150503,0.008447862816794867
3712,76800,13,1113600,0.0,0.0,23.5,0.0,280.95456790123455,298.16619319395977,141.50633916587012,0.007817425293153447
3713,77100,13,1113900,0.0,0.0,23.5,0.0,280.9481520061728,297.01977922156203,143.78869947499717,0.007943512797881734
3714,77400,13,1114200,0.0,0.0,23.5,0.0,280.94166666666666,296.5113996178899,16401.041181386197,0.9060648089774315
3715,77700,13,1114500,0.0,0.0,23.5,0.0,280.9350887345679,301.5888740069061,17797.84569057188,0.9832303618711397
3716,78000,13,1114800,0.0,0.0,23.5,0.0,280.9283950617284,304.1883734890568,17809.257492117507,0.9838607993947805
3717,78300,13,1115100,0.0,0.0,23.5,0.0,280.9215625,305.3062544204577,17861.75177922742,0.9867608120035306
3718,78600,13,1115400,0.0,0.0,23.5,0.0,280.91456790123453,305.81991471248875,17898.269544173458,0.9887782120791835
3719,78900,13,1115700,0.0,0.0,23.5,0.0,280.9073881172839,306.0775720049772,17957.61091221075,0.9920564872021183
3720,79200,13,1116000,0.0,0.0,23.5,0.0,280.9,306.23415151437206,17950.763831283366,0.9916782246879333
3721,79500,13,1116300,0.0,0.0,23.5,0.0,280.8925,306.3283473017981,18028.364081793694,0.9959651998486956
3722,79800,13,1116600,0.0,0.0,23.5,0.0,280.885,306.4214105510027,18014.66991993893,0.9952086748203257
3723,80100,13,1116900,0.0,0.0,23.5,0.0,280.8775,306.484919048015,17953.046191592504,0.9918043121926623
3724,80400,13,1117200,0.0,0.0,23.5,0.0,280.87,306.51963114179347,17941.63439004688,0.9911738746690213
3725,80700,13,1117500,0.0,0.0,23.5,0.0,280.86249999999995,306.55807874661804,17964.457993138127,0.992434749716303
3726,81000,13,1117800,0.0,0.0,23.5,0.0,280.85499999999996,306.60803948529446,17978.15215499289,0.9931912747446728
3727,81300,13,1118100,0.0,0.0,23.5,0.0,280.84749999999997,306.65980344325806,17971.30507406551,0.9928130122304879
3728,81600,13,1118400,0.0,0.0,23.5,0.0,280.84,306.7049040548314,17987.281596229408,0.9936956247635864
3729,81900,13,1118700,0.0,0.0,23.5,0.0,280.8325,306.7541290453316,18042.058243648455,0.9967217248770652
3730,82200,13,1119000,0.0,0.0,23.5,0.0,280.825,306.81764844363585,18026.081721484556,0.9958391123439667
3731,82500,13,1119300,0.0,0.0,23.5,0.0,280.8175,306.8633432249868,18083.14072921274,0.9989912999621744
3732,82800,13,1119600,0.0,0.0,23.5,0.0,280.81,306.925211973846,17889.14010293694,0.9882738620602699
3733,83100,13,1119900,0.0,0.0,23.5,0.0,280.80249999999995,306.91121983550767,17603.84506429608,0.9725129239692352
3734,83400,13,1120200,0.0,0.0,23.5,0.0,280.79499999999996,306.83417073833255,17622.103946769086,0.9735216240070608
3735,83700,13,1120500,0.0,0.0,23.5,0.0,280.78749999999997,306.82960704637605,17743.06904315284,0.9802042617576611
3736,84000,13,1120800,0.0,0.0,23.5,0.0,280.78,306.88818784714357,17720.245440061557,0.9789433867103776
3737,84300,13,1121100,0.0,0.0,23.5,0.0,280.7725,306.9258265648921,17699.704197279414,0.977808599167823
3738,84600,13,1121400,0.0,0.0,23.5,0.0,280.765,306.9555025964993,1622.7581797892537,0.08964821586180814
3739,84900,13,1121700,0.0,0.0,23.5,0.0,280.7575,301.71564160182453,136.94161854761634,0.007565250283696889
3740,85200,13,1122000,0.0,0.0,23.5,0.0,280.75,299.01110984705576,143.78869947499717,0.007943512797881734
3741,85500,13,1122300,0.0,0.0,23.5,0.0,280.74249999999995,297.8404698455178,132.3768979293626,0.007313075274240333
3742,85800,13,1122600,0.0,0.0,23.5,0.0,280.73499999999996,297.3054207259347,148.35342009325095,0.008195687807338292
3743,86100,13,1122900,0.0,0.0,23.5,0.0,280.72749999999996,297.04376538643317,155.20050102063178,0.008573950321523137
3744,0,14,1123200,0.0,0.0,23.5,0.0,280.71999999999997,296.8948212470422,143.78869947499717,0.007943512797881734
3745,300,14,1123500,0.0,0.0,23.5,0.0,280.7130960648148,296.78754651936214,141.50633916587012,0.007817425293153447
3746,600,14,1123800,0.0,0.0,23.5,0.0,280.7072685185185,296.7009313789187,152.91814071150503,0.008447862816794867
