,susceptible,exposed,infected,recovered,symptomatic,hospitalized,critical,deceased,quarantine_S,quarantine_E,quarantine_I,contact_traced
2020-06-17,0.9946019255817701,3.580812217731287e-05,2.6856091632984652e-05,0.005226866834069638,7.721126344483087e-05,2.2380076360820542e-05,1.0071034362369245e-05,5.864672310914765e-05,0.00012532842762059504,0.0,0.0,0.0
2020-06-18,0.9945963305626799,3.3570114541230815e-05,2.5737087814943625e-05,0.005236937868432007,7.609225962678985e-05,2.4618083996902597e-05,7.83302672628719e-06,5.87499816896376e-05,0.00011637639707626683,0.0,0.0,0.0
2020-06-19,0.9945851405244994,3.916513363143595e-05,2.2380076360820542e-05,0.005248127906612417,7.497325580874882e-05,2.349908017886157e-05,7.83302672628719e-06,5.884849301044276e-05,0.00011637639707626683,0.0,0.0,0.0
2020-06-20,0.9945784265015912,3.6927125995353894e-05,2.5737087814943625e-05,0.005253722925702623,7.385425199070779e-05,2.5737087814943625e-05,6.714022908246163e-06,5.894239515481746e-05,0.00011078137798606169,0.0,0.0,0.0
2020-06-21,0.9945750694901371,3.133210690514876e-05,2.6856091632984652e-05,0.005261555952428909,7.385425199070779e-05,2.5737087814943625e-05,6.714022908246163e-06,5.9032430881522946e-05,0.00011190038180410272,0.0,0.0,0.0
2020-06-22,0.9945661174595928,3.0213103087107732e-05,2.797509545102568e-05,0.005269388979155197,7.385425199070779e-05,2.4618083996902597e-05,8.952030544328217e-06,5.9119806361883747e-05,0.00011301938562214374,0.0,0.0,0.0
2020-06-23,0.9945549274214124,3.916513363143595e-05,2.2380076360820542e-05,0.005285055032607771,6.937823671854368e-05,2.1261072542779514e-05,8.952030544328217e-06,5.92058065266763e-05,0.0001152573932582258,0.0,0.0,0.0
2020-06-24,0.994547094394686,3.580812217731287e-05,2.4618083996902597e-05,0.005291769055516017,7.049724053658471e-05,2.1261072542779514e-05,1.0071034362369245e-05,5.929139395733455e-05,0.00010742436653193861,0.0,0.0,0.0
2020-06-25,0.9945359043565056,3.8046129813394925e-05,3.0213103087107732e-05,0.005299602082242305,6.60212252644206e-05,2.1261072542779514e-05,1.0071034362369245e-05,5.937685548612578e-05,0.0001029483512597745,0.0,0.0,0.0
2020-06-26,0.9945280713297794,4.028413744947698e-05,2.9094099269066708e-05,0.0053085541127866325,6.378321762833855e-05,2.1261072542779514e-05,1.0071034362369245e-05,5.946179417072636e-05,0.0001029483512597745,0.0,0.0,0.0
2020-06-27,0.994518000295417,3.916513363143595e-05,3.0213103087107732e-05,0.005315268135694879,6.60212252644206e-05,2.2380076360820542e-05,1.0071034362369245e-05,5.954535479432999e-05,0.00010406735507781553,0.0,0.0,0.0
2020-06-28,0.9945079292610547,4.1403141267518005e-05,2.5737087814943625e-05,0.005328696181511371,6.490222144637958e-05,2.2380076360820542e-05,1.0071034362369245e-05,5.9626602371295566e-05,0.00010742436653193861,0.0,0.0,0.0
2020-06-29,0.9944978582266922,4.1403141267518005e-05,2.5737087814943625e-05,0.0053376482120557,6.825923290050266e-05,2.014206872473849e-05,1.0071034362369245e-05,5.970488894459038e-05,0.00010518635889585655,0.0,0.0,0.0
2020-06-30,0.9944855491846938,4.699816035772314e-05,2.4618083996902597e-05,0.005344362234963946,6.825923290050266e-05,2.2380076360820542e-05,8.952030544328217e-06,5.978013262973541e-05,0.0001029483512597745,0.0,0.0,0.0
